"selector","context","specificity","ownership","occurrenceCount","firstDefinition","laterOverrides","files","importantDeclarationCount","afterDocumentClose","runtimeReferenceCount","likelyObsoleteReview","movementRisk","movementRiskScore","movementRiskReasons"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) td:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:391","","TatRemakeAliasStyles.html","4","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) td:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:397","","TatRemakeAliasStyles.html","1","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) th","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) th:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:391","","TatRemakeAliasStyles.html","4","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) th:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:397","","TatRemakeAliasStyles.html","1","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) td","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) td:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:380","","TatRemakeAliasStyles.html","2","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) td:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:386","","TatRemakeAliasStyles.html","1","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) th","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) th:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:380","","TatRemakeAliasStyles.html","2","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeDepartmentTable:not(.compareColumnsV6301) th:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:386","","TatRemakeAliasStyles.html","1","true","888","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeNotice:empty","@media (max-width:1279px)","2-2-0","Shared","1","TatRemakeAliasStyles.html:748","","TatRemakeAliasStyles.html","1","true","612","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) td","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) td:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:380","","TatRemakeAliasStyles.html","2","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) td:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:386","","TatRemakeAliasStyles.html","1","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
