"cascadeOrder","selector","context","file","line","styleId","styleBlockOrder","includeOrder","afterDocumentClose","specificity","ownership","importantDeclarationCount","declarations"
"74",".bigKpi","","DashboardBaseStyles.html","444","","1","1","false","0-1-0","Shared","0","background: #ffffff; border: 1px solid var(--line); border-radius: 10px; padding: 12px"
"75",".bigKpi .label","","DashboardBaseStyles.html","451","","1","1","false","0-2-0","Shared","0","font-size: 11px; color: #667085; font-weight: 800; margin-bottom: 6px"
"76",".bigKpi .value","","DashboardBaseStyles.html","458","","1","1","false","0-2-0","Shared","0","font-size: 24px; font-weight: 900"
"77",".twoGrid","","DashboardBaseStyles.html","463","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: 1fr 1fr; gap: 10px"
"78",".twoGrid .wide","","DashboardBaseStyles.html","469","","1","1","false","0-2-0","Shared","0","grid-column: 1 / -1"
"79",".twoCard","","DashboardBaseStyles.html","473","","1","1","false","0-1-0","Shared","0","height: 310px"
"80",".twoCard .chartBox","","DashboardBaseStyles.html","477","","1","1","false","0-2-0","Shared","0","height: 265px"
"81",".error","","DashboardBaseStyles.html","481","","1","1","false","0-1-0","Shared","0","background: #fef3f2; border: 1px solid #fecdca; color: #b42318; padding: 10px; border-radius: 8px; margin: 10px; white-space: pre-wrap"
"82",".topBar","@media (max-width: 1150px)","DashboardBaseStyles.html","492","","1","1","false","0-1-0","Shared","0","display: block"
"83",".grid","@media (max-width: 1150px)","DashboardBaseStyles.html","492","","1","1","false","0-1-0","Shared","0","display: block"
"84",".twoShell","@media (max-width: 1150px)","DashboardBaseStyles.html","492","","1","1","false","0-1-0","Shared","0","display: block"
"85",".twoGrid","@media (max-width: 1150px)","DashboardBaseStyles.html","492","","1","1","false","0-1-0","Shared","0","display: block"
"86",".filterPanel","@media (max-width: 1150px)","DashboardBaseStyles.html","499","","1","1","false","0-1-0","Shared","0","margin-bottom: 10px"
"87",".card","@media (max-width: 1150px)","DashboardBaseStyles.html","499","","1","1","false","0-1-0","Shared","0","margin-bottom: 10px"
"88",".bigKpi","@media (max-width: 1150px)","DashboardBaseStyles.html","499","","1","1","false","0-1-0","Shared","0","margin-bottom: 10px"
"89",".kpiStrip","@media (max-width: 1150px)","DashboardBaseStyles.html","505","","1","1","false","0-1-0","Shared","0","grid-template-columns: 1fr"
"90",".bigKpis","@media (max-width: 1150px)","DashboardBaseStyles.html","505","","1","1","false","0-1-0","Shared","0","grid-template-columns: 1fr"
"91",".chartBox","@media (max-width: 1150px)","DashboardBaseStyles.html","510","","1","1","false","0-1-0","Shared","0","height: 260px"
"92",".areaUnits .chartBox","@media (max-width: 1150px)","DashboardBaseStyles.html","510","","1","1","false","0-2-0","Shared","0","height: 260px"
"93",".tableScroll","@media (max-width: 1150px)","DashboardBaseStyles.html","510","","1","1","false","0-1-0","Shared","0","height: 260px"
"94",".areaProductTable .tableScroll","@media (max-width: 1150px)","DashboardBaseStyles.html","510","","1","1","false","0-2-0","Shared","0","height: 260px"
"95",":root","","DashboardBaseStyles.html","519","","1","1","false","0-1-0","Shared","0","--bg: #f7f8fb; --canvas: #f3f6fa; --card: #ffffff; --ink: #102033; --muted: #5f6f82; --line: #d9e1ec; --softline: #eef2f7; --navy: #17283d; --navy2: #1f3b57; --blue: #1f5f99; --bluesoft: rgba(31, 95, 153, 0.18); --chip: #edf6ff"
"96","body","","DashboardBaseStyles.html","534","","1","1","false","0-0-1","Shared","0","background: #f7f8fb"
"97",".dashboardShell","","DashboardBaseStyles.html","538","","1","1","false","0-1-0","Shared","0","background: #f3f6fa; border: 1px solid #dce4ef; border-radius: 8px; padding: 10px; box-shadow: inset 0 1px 0 rgba(255,255,255,.9)"
"98",".tabs","","DashboardBaseStyles.html","546","","1","1","false","0-1-0","Shared","0","background: #ffffff"
"99",".tabBtn.active","","DashboardBaseStyles.html","550","","1","1","false","0-2-0","Shared","0","background: #d9eaff; color: #174a7c"
"100",".topBar.executiveTop","","DashboardBaseStyles.html","555","","1","1","false","0-2-0","Shared","0","grid-template-columns: auto auto auto minmax(680px, 1fr); gap: 8px; align-items: stretch; margin-bottom: 8px"
"101",".segGroup","","DashboardBaseStyles.html","562","","1","1","false","0-1-0","Shared","0","border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.06)"
"102",".resetBtn","","DashboardBaseStyles.html","562","","1","1","false","0-1-0","Shared","0","border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.06)"
"103",".kpiMini","","DashboardBaseStyles.html","562","","1","1","false","0-1-0","Shared","0","border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.06)"
"104",".filterCard","","DashboardBaseStyles.html","562","","1","1","false","0-1-0","Shared","0","border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.06)"
"105",".card","","DashboardBaseStyles.html","562","","1","1","false","0-1-0","Shared","0","border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.06)"
"106",".segBtn.active","","DashboardBaseStyles.html","571","","1","1","false","0-2-0","Shared","0","background: #17283d; color: #ffffff"
"107",".filterDeck","","DashboardBaseStyles.html","576","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: minmax(500px, 1.8fr) minmax(220px, .72fr) minmax(240px, .78fr) minmax(240px, .72fr); gap: 8px; margin: 0 0 8px 0"
"108",".filterCard","","DashboardBaseStyles.html","583","","1","1","false","0-1-0","Shared","0","background: #ffffff; border: 1px solid #d9e1ec; border-radius: 9px; overflow: hidden; min-height: 74px"
"109",".filterCard select","","DashboardBaseStyles.html","591","","1","1","false","0-1-1","Shared","0","margin: 8px; width: calc(100% - 16px)"
"110",".miniLabel","","DashboardBaseStyles.html","596","","1","1","false","0-1-0","Shared","0","font-size: 11px; font-weight: 900; letter-spacing: .03em; text-transform: uppercase; color: #5f6f82; padding: 9px 10px 0"
"111",".sectionHeader","","DashboardBaseStyles.html","605","","1","1","false","0-1-0","Shared","0","background: #17283d; border-bottom: 1px solid #263c57"
"112",".deptList","","DashboardBaseStyles.html","610","","1","1","false","0-1-0","Shared","0","max-height: 92px; overflow-y: auto; padding: 6px; display: grid; grid-template-columns: repeat(auto-fit, minmax(160px, 1fr)); gap: 3px 8px"
"113",".yearList","","DashboardBaseStyles.html","619","","1","1","false","0-1-0","Shared","0","max-height: 92px; overflow-y: auto; padding: 6px; display: grid; grid-template-columns: 1fr; gap: 3px"
"114",".deptRow","","DashboardBaseStyles.html","628","","1","1","false","0-1-0","Shared","0","padding: 4px 5px; border: 1px solid transparent"
"115",".yearRow","","DashboardBaseStyles.html","628","","1","1","false","0-1-0","Shared","0","padding: 4px 5px; border: 1px solid transparent"
"116",".deptRow.active","","DashboardBaseStyles.html","634","","1","1","false","0-2-0","Shared","0","background: #edf6ff; border-color: #cae3ff"
"117",".yearRow.active","","DashboardBaseStyles.html","634","","1","1","false","0-2-0","Shared","0","background: #edf6ff; border-color: #cae3ff"
"118",".grid","","DashboardBaseStyles.html","640","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: minmax(420px, 1fr) minmax(420px, 1fr) minmax(520px, 1.25fr); grid-template-rows: 240px 240px 240px; gap: 8px; grid-template-areas: ""revenue customers customerTable"" ""units rpac productTable"" ""avg avg productTable"""
"119",".chartBox","","DashboardBaseStyles.html","651","","1","1","false","0-1-0","Shared","0","height: 198px"
"120",".areaUnits .chartBox","","DashboardBaseStyles.html","651","","1","1","false","0-2-0","Shared","0","height: 198px"
"121",".areaAvg .chartBox","","DashboardBaseStyles.html","656","","1","1","false","0-2-0","Shared","0","height: 198px"
"122",".tableScroll","","DashboardBaseStyles.html","660","","1","1","false","0-1-0","Shared","0","height: 198px"
"123",".areaProductTable .tableScroll","","DashboardBaseStyles.html","664","","1","1","false","0-2-0","Shared","0","height: 438px"
"124",".card","","DashboardBaseStyles.html","668","","1","1","false","0-1-0","Shared","0","border-radius: 8px; border-color: #d9e1ec; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.08)"
"125","th","","DashboardBaseStyles.html","674","","1","1","false","0-0-1","Shared","0","background: #17283d; border-color: #2c4058"
"126",".kpiMini","","DashboardBaseStyles.html","679","","1","1","false","0-1-0","Shared","0","border-radius: 9px; min-height: 46px; background: linear-gradient(180deg, #ffffff 0%, #fbfdff 100%)"
"127",".kpiMini .value","","DashboardBaseStyles.html","685","","1","1","false","0-2-0","Shared","0","color: #132238"
"128",".chip","","DashboardBaseStyles.html","689","","1","1","false","0-1-0","Shared","0","background: #edf6ff; border-color: #c9e3ff; color: #204b73"
"129",".filterDeck.dropdownDeck","","DashboardBaseStyles.html","697","","1","1","false","0-2-0","Shared","0","grid-template-columns: minmax(250px, 0.85fr) minmax(250px, 1fr) minmax(250px, 1fr) minmax(180px, 0.55fr); align-items: stretch; position: relative; z-index: 20"
"130",".dropdownCard","","DashboardBaseStyles.html","704","","1","1","false","0-1-0","Shared","0","position: relative; overflow: visible"
"131",".dropdownButton","","DashboardBaseStyles.html","709","","1","1","false","0-1-0","Shared","0","width: calc(100% - 16px); margin: 8px; border: 1px solid #cbd6e2; background: #ffffff; color: #17283d; border-radius: 7px; padding: 8px 10px; font-size: 12px; font-weight: 800; text-align: left; cursor: pointer; display: flex; justify-content: space-between; align-items: center"
"132",".dropdownButton::after","","DashboardBaseStyles.html","726","","1","1","false","0-1-1","Shared","0","content: ""▾""; color: #5f6f82; font-size: 12px"
"133",".dropdownPanel","","DashboardBaseStyles.html","732","","1","1","false","0-1-0","Shared","0","display: none; position: absolute; left: 8px; right: 8px; top: 63px; background: #ffffff; border: 1px solid #c9d4e2; border-radius: 10px; box-shadow: 0 12px 28px rgba(16, 24, 40, 0.18); z-index: 100; max-height: 380px; overflow: hidden"
"134",".dropdownPanel.open","","DashboardBaseStyles.html","747","","1","1","false","0-2-0","Shared","0","display: block"
"135",".dropdownPanelHeader","","DashboardBaseStyles.html","751","","1","1","false","0-1-0","Shared","0","display: flex; gap: 6px; padding: 8px; background: #f8fbff; border-bottom: 1px solid #e0e7f0"
"136",".dropdownPanelHeader button","","DashboardBaseStyles.html","759","","1","1","false","0-1-1","Shared","0","border: 1px solid #cbd6e2; background: #ffffff; border-radius: 999px; padding: 5px 8px; font-size: 11px; font-weight: 800; color: #1f5f99; cursor: pointer"
"137",".compactHeader","","DashboardBaseStyles.html","770","","1","1","false","0-1-0","Shared","0","border-radius: 0"
"138",".deptList.dropdownList","","DashboardBaseStyles.html","774","","1","1","false","0-2-0","Shared","0","max-height: 260px; overflow-y: auto; display: block; padding: 6px"
"139",".yearList.dropdownList","","DashboardBaseStyles.html","774","","1","1","false","0-2-0","Shared","0","max-height: 260px; overflow-y: auto; display: block; padding: 6px"
"140",".deptList.dropdownList .deptRow","","DashboardBaseStyles.html","782","","1","1","false","0-3-0","Shared","0","display: grid; grid-template-columns: 1fr auto; margin-bottom: 3px"
"141",".yearList.dropdownList .yearRow","","DashboardBaseStyles.html","782","","1","1","false","0-3-0","Shared","0","display: grid; grid-template-columns: 1fr auto; margin-bottom: 3px"
"142",".chipRow","","DashboardBaseStyles.html","789","","1","1","false","0-1-0","Shared","0","margin-bottom: 7px"
"143",".chip","","DashboardBaseStyles.html","793","","1","1","false","0-1-0","Shared","0","max-width: 520px"
"144",".dropdownPanel","@media (max-width: 1150px)","DashboardBaseStyles.html","798","","1","1","false","0-1-0","Shared","0","position: static; margin: 0 8px 8px"
"145",":root","","DashboardBaseStyles.html","806","","1","1","false","0-1-0","Shared","0","--bg: #f6f8fb; --canvas: #f2f6fb; --card: #ffffff; --ink: #102033; --muted: #64748b; --line: #dbe5f0; --softline: #eef3f8; --navy: #132238; --navy2: #1d3557; --blue: #2563eb; --chip: #eff6ff"
"146","body","","DashboardBaseStyles.html","820","","1","1","false","0-0-1","Shared","0","background: #f6f8fb"
"147",".dashboardShell","","DashboardBaseStyles.html","824","","1","1","false","0-1-0","Shared","0","background: linear-gradient(180deg, #f8fbff 0%, #f3f7fc 100%); border: 1px solid #dbe5f0; border-radius: 10px; padding: 10px; box-shadow: 0 6px 20px rgba(15, 23, 42, 0.05)"
"148",".tabs","","DashboardBaseStyles.html","832","","1","1","false","0-1-0","Shared","0","background: #ffffff; border-bottom: 1px solid #dbe5f0"
"149",".tabBtn.active","","DashboardBaseStyles.html","837","","1","1","false","0-2-0","Shared","0","background: #dbeafe; color: #1d4ed8"
"150",".segBtn.active","","DashboardBaseStyles.html","842","","1","1","false","0-2-0","Shared","0","background: linear-gradient(180deg, #1e3a5f 0%, #132238 100%); color: #ffffff"
